단어,뜻
회전문 관광객,"한국을 N차 방문하거나 유학 등을 위해 단기 거주하며, 실제 한국인처럼 ‘생활형 소비’를 이어가는 외국인 소비자 그룹"
예카,‘예쁜 카페’를 줄여 부르는 말.
진생,"‘진짜 인생’의 줄임말로, 온라인상의 간접 경험 대신 오프라인에서의 ‘직접 경험’을 추구하는 흐름. AI와 알고리즘이 떠먹여 주는 수동적인 경험 소비에 대한 피로가 커지면서, 현실 속에서 생생하게 느낄 수 있는 경험을 주도적으로 찾아 나서는 움직임이 확산되고 있음."
레디컨슈머,"2026년 캐릿이 소개한 취업 준비생의 특징으로, 미래를 준비하는 기간에도 현재의 소비와 경험에 적극적으로 투자하는 성향을 말함. 최근 시장의 흥행을 좌우하는 변수로 뜨고 있음."
럭키맥싱,2026년 캐릿이 소개한 행운을 최대한 끌어모으는 행동을 적극적으로 실천하는 트렌드. 운이 트이는 장소를 찾아가거나 사주에 맞는 개운 아이템을 소비하는 것이 대표적 사례.
백룸,"탈출할 수 없는 미지의 공간을 배경으로 한 인터넷 괴담. 2019년에 시작돼 2020년대 들어 Z세대 사이에서 크게 유행했으며, 마니아층이 탄탄한 소재로 통함."
콜라보 카페,"애니메이션, 웹툰 등의 IP와 협업해 해당 작품을 콘셉트로 공간을 꾸민 카페를 뜻함. 운영 기간동안 작품 설정이나 캐릭터의 개성을 반영한 스페셜 메뉴를 판매하는 것이 특징으로, Z세대 팬덤이 즐겨 찾는 공간으로 자리 잡음."
메지루시,"‘메지루시(めじるし)’는 자신의 물건을 구분하기 위해 달아 놓는 표식을 의미함. 일반 키링에 비해 사이즈가 작으며 고무링이 달린 것이 특징. 일본에서는 인기 캐릭터의 메지루시 신상이 발매되면 치열한 오픈런이 벌어질 정도로 대세 굿즈로 통하며, 국내에서도 메지루시를 우산·화장품 등에 달아 꾸미는 것이 유행 중."
왁뿌,‘왁스 부수기’의 줄임말. 왁스 혹은 다른 물질로 코팅된 물체의 겉면을 부수며 촉감과 사운드를 즐기는 유행을 뜻함.
왁뿌볼,왁스로 겉을 코팅한 점토 공. 이를 부수면서 촉감을 즐기며 노는 것이 최근 유행으로 자리 잡음.
듀프,"유명 브랜드 제품과 비슷한 품질이나 디자인을 갖췄지만, 더 저렴한 가격에 구매할 수 있는 대체 상품"
헤드라이너,페스티벌 피크 타임에 무대에 오르는 메인 아티스트를 뜻하는 단어. 더욱 확장된 의미로도 쓰이는데 특정 분야를 대표하거나 가장 주목받는 대상을 가리킬 때도 ‘헤드라이너’라는 표현을 사용함.
엄미새,"‘엄마에 미친 새X’의 줄임말로, 엄마를 너무 사랑한다는 뜻을 다소 격하게 표현한 신조어"
엄마 동결건조,"식품을 오래 보관하기 위해 동결건조를 하듯, 엄마와 오래 함께하고 싶다는 마음에서 나온 밈."
공동 컬렉션,"인스타그램에서 이용할 수 있는 공동 북마크 기능. 지정한 친구들끼리 공동 컬렉션에 콘텐츠를 모아 보는 공유 저장 폴더 같은 개념임. 1020은 공동 컬렉션을 만들어 여행 계획, 약속 계획을 세우는 데 참고하는 식으로 사용한다고 함."
셋로그,"1시간마다 짧은 영상을 찍어 공유하는 소셜 앱. 영상은 단체방마다 분할화면으로 표시되며, 채팅방을 통해 간단한 메시지도 주고받을 수 있음. 꾸미지 않은 하루 루틴을 실시간으로 확인할 수 있다는 점에서 큰 인기를 끌고 있음."
슬립맥싱,"‘수면(Sleep)’과 ‘극대화(Maximizing)’가 합쳐진 말로, 수면의 양과 질을 최대한으로 끌어올리기 위해 하는 모든 행위를 일컫는 말."
프렌드플레이션,친구를 뜻하는 ‘프렌드(Friend)’와 ‘인플레이션(Inflation)’의 합성어. 고물가로 외식 비용이 오르면서 사교 모임을 줄이게 되는 현상을 뜻함.
마인드 에이징,"젊은 세대가 이른 시기부터 심리적 노화를 경험하는 현상을 말함. 새로움이 줄어들고 매사에 시큰둥해지거나, 귀찮음 때문에 비슷한 일상을 반복하게 되는 상태를 의미함."
청춘통,청춘을 그리워하는 데서 비롯되는 통증을 뜻하는 신조어. 특히 Z세대가 청춘을 ‘제대로 가져본 적 없는 무언가’로 인식하며 그리워할 때 ‘청춘통’이라는 표현을 자주 사용함.
안티 플렉스,‘플렉스(FLEX)’하며 과시하는 소비 방식을 더 이상 힙하다고 여기지 않는 태도. 대신 다방면에서 ‘절약’을 실천하는 라이프스타일에 관심을 갖게 된 Z세대가 많아짐.
산책감도,"Z세대가 산책과 관련한 라이프스타일·장소·활동을 일상 속 이벤트처럼 여기고, 적극적으로 찾아 나서는 현상을 의미함. 미감이 뛰어난 브랜드를 ‘감도 높다’고 칭찬하는 것처럼, 산책에 있어서도 감도를 높이기를 원하는 것."
상황관,단편적인 상황에 담긴 감성과 분위기를 구체적으로 제시해 소비자의 공감을 불러 일으키는 마케팅 방식
숏셜링,"‘숏폼+소셜링’의 합성어로, 매번 같은 인원이 참여하는 동아리, 동호회와 달리 일회성으로 진행되는 모임을 뜻하는 말."
비리얼(BeReal),'안티 인스타그램'으로 떠오른 인기 SNS 앱. 하루에 한 번 무작위로 알림이 울리는데 이때 2분 안에 전면과 후면 카메라에 보이는 풍경을 찍어 업로드하는 것이 특징임. 필터나 포토샵으로 꾸며진 모습이 아닌 자연스러운 일상을 팔로워들과 공유할 수 있다는 것이 특징임.
스퀴시,"폴리우레탄 폼 등을 활용해 제작한 장난감으로, 말랑말랑하고 부드러운 촉감을 지님. 눌렀을 때 형태가 변했다가 천천히 복원되는 것이 특징. ‘말랑이’라는 용어와 혼용되기도 함."
